GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
your-artifact,Physics_Engine.LandingController,WindModel,0,33,0,0,0,6,0,3,0,3
your-artifact,Physics_Engine.LandingController,LanderSimulation,357,0,20,0,58,0,13,0,3,0
your-artifact,Physics_Engine.LandingController,LanderState,0,61,0,0,0,13,0,6,0,6
your-artifact,Physics_Engine.LandingController,LanderODEFunction,0,105,0,0,0,15,0,2,0,2
your-artifact,Physics_Engine.LandingController,LanderController,0,119,0,0,0,21,0,4,0,4
your-artifact,Physics_Engine.LandingController,ControlInputs,0,9,0,0,0,4,0,1,0,1
your-artifact,Physics_Engine.LandingController,LanderVelocityFunction,0,22,0,2,0,5,0,3,0,2
your-artifact,Physics_Engine.LandingController,LanderObject,20,100,0,2,10,24,5,11,5,10
your-artifact,Physics_Engine.LandingController,LanderPhysicsFunction,0,89,0,2,0,22,0,3,0,2
your-artifact,Physics_Engine.RocketMissson,TEST,81,0,0,0,19,0,4,0,4,0
your-artifact,Physics_Engine.RocketMissson,VARIABLES,6,0,0,0,2,0,2,0,2,0
your-artifact,Physics_Engine.RocketMissson,Controller,514,0,28,0,88,0,25,0,11,0
your-artifact,Physics_Engine.RocketMissson,GradientDescentStage2,1108,0,61,0,187,0,51,0,18,0
your-artifact,Physics_Engine.RocketMissson,GradientDescentStage1,1406,0,70,0,230,0,54,0,17,0
your-artifact,Physics_Engine.ODESolverRK4,TEST,68,0,4,0,16,0,4,0,2,0
your-artifact,Physics_Engine.ODESolverRK4,AccelerationFunction,0,121,0,8,0,23,0,7,0,3
your-artifact,Physics_Engine.ODESolverRK4,VelocityFunction,0,5,0,0,0,2,0,2,0,2
your-artifact,Physics_Engine.ODESolverRK4,RK4_ODESolver,803,0,46,0,103,0,33,0,10,0
your-artifact,Physics_Engine.SpectralDefferedInProgress,Vector,203,0,8,0,36,0,18,0,14,0
your-artifact,Physics_Engine.SpectralDefferedInProgress,Main,85,0,6,0,19,0,6,0,3,0
your-artifact,Physics_Engine.SpectralDefferedInProgress,SolarSystem,294,0,2,0,40,0,4,0,3,0
your-artifact,Physics_Engine.SpectralDefferedInProgress,CorrectionMethod,3,0,0,0,1,0,1,0,1,0
your-artifact,Physics_Engine.SpectralDefferedInProgress,QIJMatrix,238,0,18,0,42,0,16,0,7,0
your-artifact,Physics_Engine.SpectralDefferedInProgress,AccelerationFunction,122,0,8,0,24,0,7,0,3,0
your-artifact,Physics_Engine.SpectralDefferedInProgress,HEUN_2ORDER,400,0,12,0,47,0,14,0,8,0
your-artifact,Physics_Engine.SpectralDefferedInProgress,VelocityFunction,5,0,0,0,2,0,2,0,2,0
your-artifact,Physics_Engine.SpectralDefferedInProgress,AstralObject,182,0,0,0,44,0,13,0,13,0
your-artifact,Physics_Engine.GeneralComponents,Thrust,6,58,0,0,2,15,2,5,2,5
your-artifact,Physics_Engine.GeneralComponents,AstralObject,48,139,0,0,10,32,4,9,4,9
your-artifact,Physics_Engine.GeneralComponents,SolarSystem,21,458,2,6,5,58,2,7,1,4
your-artifact,Physics_Engine.GeneralComponents,SpaceShip,0,50,0,0,0,10,0,4,0,4
your-artifact,Physics_Engine.GeneralComponents,ProbeObject,82,178,0,4,11,35,5,11,5,9
your-artifact,Physics_Engine.GeneralComponents,Vector,37,189,0,6,10,25,4,13,4,10
your-artifact,Physics_Engine.ProbeMission,GeneticAlgorithmOptimizer.Individual,72,0,2,0,16,0,6,0,5,0
your-artifact,Physics_Engine.ProbeMission,NewtonRaphson,440,0,16,0,72,0,14,0,6,0
your-artifact,Physics_Engine.ProbeMission,Main,76,0,4,0,14,0,4,0,2,0
your-artifact,Physics_Engine.ProbeMission,GeneticAlgorithmOptimizer,626,0,48,0,112,0,36,0,12,0
your-artifact,Physics_Engine.ProbeMission,TEST,53,0,4,0,12,0,4,0,2,0
